name,parent,size,type
task_1.csv,,70,file
task_1.py,,957,file
task_2.py,,504,file
task_3.py,,3393,file
,,15766255,directory
.gitignore,.idea,50,file
Homework_8.iml,.idea,361,file
misc.xml,.idea,202,file
modules.xml,.idea,279,file
vcs.xml,.idea,191,file
workspace.xml,.idea,2250,file
.idea,,3769,directory
profiles_settings.xml,inspectionProfiles,174,file
Project_Default.xml,inspectionProfiles,262,file
inspectionProfiles,.idea,436,directory
result.csv,result,31984,file
result.json,result,60388,file
result.pickle,result,25795,file
result,,118167,directory
.gitignore,venv,42,file
pyvenv.cfg,venv,410,file
venv,,15639395,directory
Lib,venv,14228430,directory
distutils-precedence.pth,site-packages,151,file
pip-22.3.1.virtualenv,site-packages,0,file
setuptools-65.5.1.virtualenv,site-packages,0,file
wheel-0.38.4.virtualenv,site-packages,0,file
_virtualenv.pth,site-packages,18,file
_virtualenv.py,site-packages,5770,file
site-packages,Lib,14228430,directory
py.typed,pip,286,file
__init__.py,pip,357,file
__main__.py,pip,1198,file
__pip-runner__.py,pip,1444,file
pip,site-packages,9498460,directory
build_env.py,_internal,10234,file
cache.py,_internal,10734,file
configuration.py,_internal,13529,file
exceptions.py,_internal,20942,file
main.py,_internal,340,file
pyproject.py,_internal,7074,file
self_outdated_check.py,_internal,8020,file
wheel_builder.py,_internal,13079,file
__init__.py,_internal,573,file
_internal,pip,878353,directory
autocompletion.py,cli,6676,file
base_command.py,cli,7842,file
cmdoptions.py,cli,29381,file
command_context.py,cli,774,file
main.py,cli,2472,file
main_parser.py,cli,4338,file
parser.py,cli,10817,file
progress_bars.py,cli,1968,file
req_command.py,cli,18172,file
spinners.py,cli,5118,file
status_codes.py,cli,116,file
__init__.py,cli,132,file
cli,_internal,87806,directory
cache.py,commands,7582,file
check.py,commands,1685,file
completion.py,commands,4129,file
configuration.py,commands,9815,file
debug.py,commands,6573,file
download.py,commands,5289,file
freeze.py,commands,2951,file
hash.py,commands,1703,file
help.py,commands,1132,file
index.py,commands,4762,file
inspect.py,commands,3374,file
install.py,commands,31726,file
list.py,commands,12343,file
search.py,commands,5697,file
show.py,commands,6129,file
uninstall.py,commands,3680,file
wheel.py,commands,7396,file
__init__.py,commands,3882,file
commands,_internal,119848,directory
base.py,distributions,1221,file
installed.py,distributions,729,file
sdist.py,distributions,6494,file
wheel.py,distributions,1164,file
__init__.py,distributions,858,file
distributions,_internal,10466,directory
collector.py,index,16503,file
package_finder.py,index,37596,file
sources.py,index,6557,file
__init__.py,index,30,file
index,_internal,60686,directory
base.py,locations,2573,file
_distutils.py,locations,6302,file
_sysconfig.py,locations,7867,file
__init__.py,locations,17552,file
locations,_internal,34294,directory
base.py,metadata,25277,file
pkg_resources.py,metadata,9773,file
_json.py,metadata,2595,file
__init__.py,metadata,4280,file
metadata,_internal,59552,directory
_compat.py,importlib,1882,file
_dists.py,importlib,8181,file
_envs.py,importlib,7457,file
__init__.py,importlib,107,file
importlib,metadata,17627,directory
candidate.py,models,990,file
direct_url.py,models,5877,file
format_control.py,models,2520,file
index.py,models,1030,file
installation_report.py,models,2617,file
link.py,models,18083,file
scheme.py,models,738,file
search_scope.py,models,4644,file
selection_prefs.py,models,1907,file
target_python.py,models,3858,file
wheel.py,models,3600,file
__init__.py,models,63,file
models,_internal,45927,directory
auth.py,network,12190,file
cache.py,network,2145,file
download.py,network,6096,file
lazy_wheel.py,network,7638,file
session.py,network,18443,file
utils.py,network,4073,file
xmlrpc.py,network,1791,file
__init__.py,network,50,file
network,_internal,52426,directory
check.py,operations,5109,file
freeze.py,operations,9784,file
prepare.py,operations,25091,file
__init__.py,operations,0,file
operations,_internal,87624,directory
build_tracker.py,build,4133,file
metadata.py,build,1404,file
metadata_editable.py,build,1456,file
metadata_legacy.py,build,2198,file
wheel.py,build,1063,file
wheel_editable.py,build,1405,file
wheel_legacy.py,build,3064,file
__init__.py,build,0,file
build,operations,14723,directory
editable_legacy.py,install,1354,file
legacy.py,install,4105,file
wheel.py,install,27407,file
__init__.py,install,51,file
install,operations,32917,directory
constructors.py,req,16611,file
req_file.py,req,17646,file
req_install.py,req,35600,file
req_set.py,req,2858,file
req_uninstall.py,req,24045,file
__init__.py,req,2807,file
req,_internal,99567,directory
base.py,resolution,583,file
__init__.py,resolution,0,file
resolution,_internal,55246,directory
resolver.py,legacy,24129,file
__init__.py,legacy,0,file
legacy,resolution,24129,directory
